Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Final Price
Asus,ExpertBook,Intel Core i5,8,512,SSD,iGPU,15.6,1009.0
Alurin,Go,Intel Celeron,8,256,SSD,iGPU,15.6,299.0
Asus,ExpertBook,Intel Core i3,8,256,SSD,iGPU,15.6,789.0
MSI,Katana,Intel Core i7,16,1000,SSD,RTX 3050,15.6,1199.0
HP,15S,Intel Core i5,16,512,SSD,iGPU,15.6,669.01
MSI,Crosshair,Intel Core i7,32,1000,SSD,RTX 4060,17.3,1699.0
Lenovo,ThinkPad,AMD Ryzen 5,8,256,SSD,iGPU,14.0,909.0
Asus,VivoBook,Intel Core i7,8,512,SSD,iGPU,15.6,809.01
Medion,Akoya,Intel Core i5,8,256,SSD,iGPU,15.6,519.0
HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,1149.0
Lenovo,V15,Intel Celeron,8,256,SSD,iGPU,15.6,349.0
MSI,Thin,Intel Core i7,16,1000,SSD,RTX 4050,15.6,1399.0
Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,1199.0
Lenovo,V15,AMD Ryzen 5,16,512,SSD,iGPU,15.6,476.99
Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,iGPU,15.6,391.0
HP,15S,Intel Core i5,8,512,SSD,iGPU,15.6,699.0
Lenovo,IdeaPad,Intel Core i5,16,512,SSD,iGPU,15.6,799.0
HP,15S,Intel Core i3,8,512,SSD,iGPU,15.6,549.0
Asus,VivoBook,Intel Core i7,8,512,SSD,iGPU,15.6,769.0
MSI,Thin,Intel Core i7,16,512,SSD,RTX 3050,15.6,999.0
MSI,Cyborg,Intel Core i5,16,1000,SSD,RTX 4060,15.6,1249.0
Asus,M515UA,AMD Ryzen 7,16,512,SSD,iGPU,15.6,789.0
Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,iGPU,15.6,729.0
Asus,TUF,Intel Core i5,16,512,SSD,RTX 3050,15.6,1099.0
Acer,Aspire,Intel Core i3,8,256,SSD,iGPU,15.6,539.01
Asus,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,1179.0
Alurin,Go,Intel Celeron,8,256,SSD,iGPU,14.0,239.0
HP,Victus,Intel Core i5,16,512,SSD,RTX 3050,15.6,999.0
HP,Pavilion,AMD Ryzen 5,16,512,SSD,iGPU,15.6,799.0
Lenovo,IdeaPad,Intel Core i5,8,512,SSD,iGPU,15.6,519.01
HP,15S,Intel Core i5,16,512,SSD,iGPU,15.6,789.0
MSI,Katana,Intel Core i7,16,512,SSD,RTX 4060,15.6,1549.0
Asus,VivoBook,Intel Core i3,8,256,SSD,iGPU,15.6,539.01
HP,15S,Intel Core i3,8,256,SSD,iGPU,15.6,539.0
MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4060,17.3,2249.0
Asus,VivoBook,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,1299.01
Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,1139.01
Asus,Chromebook,Intel Celeron,8,64,eMMC,iGPU,15.6,399.0
HP,15S,Intel Core i7,16,512,SSD,iGPU,15.6,789.0
HP,15S,AMD Ryzen 5,8,512,SSD,iGPU,15.6,599.01
HP,Omen,Intel Core i7,32,1000,SSD,RTX 3060,16.1,1699.0
Asus,VivoBook,Intel Core i5,8,512,SSD,iGPU,15.6,609.0
Asus,ZenBook,Intel Core i7,16,512,SSD,iGPU,13.3,1089.0
